week,mean_pct_change,mean_detect,n_sites
2023-08-13,644982.1876731302,93.15408587257618,2888
2023-08-20,3742399.419495798,94.20403361344538,2975
2023-08-27,2232595.4131875415,95.83200795228628,3018
2023-09-03,5065373.50554995,97.18129835183316,2973
2023-09-10,2898250.405957162,97.58500669344043,2988
2023-09-17,6404166.016366612,97.57675941080197,3055
2023-09-24,4920401.567961165,97.31294498381877,3090
2023-10-01,6378914.636125655,97.42179319371728,3056
2023-10-08,6239690.270009643,96.91899710703953,3111
2023-10-15,2736636.0324530704,96.42188991409482,3143
2023-10-22,117797.80611270297,96.22699777141038,3141
2023-10-29,143968.51493735946,96.32283970446515,3113
2023-11-05,108196.6981499513,96.91463810451152,3081
2023-11-12,2174234.9497336885,97.30359520639148,3004
2023-11-19,780150.1857285762,98.05335111703901,2999
2023-11-26,2723848.7886932343,98.92709298733395,3237
2023-12-03,638719.3252766454,99.15608619685499,3434
2023-12-10,62516.041785105175,98.94968732234224,3518
2023-12-17,1282601.2255853799,98.99428897772701,3502
2023-12-24,2727688.518628912,99.52667660208644,3355
2023-12-31,2255209.4626955474,99.57310469314079,3324
2024-01-07,3630128.2920174166,99.31059506531204,3445
2024-01-14,109414.7222546729,99.05753504672897,3424
2024-01-21,14669.676060347281,98.4691147167663,3513
2024-01-28,9119.774158815613,97.6864064602961,3715
2024-02-04,1068294.9342035162,97.62413425679276,3754
2024-02-11,3486456.967882417,98.37425149700599,3674
2024-02-18,2965179.5498357066,98.65443592552026,3652
2024-02-25,1743127.3132238083,97.76110961486668,3713
2024-03-03,158904.6096757852,96.42046605876394,3948
2024-03-10,218817.40080361627,94.44650929181316,3982
2024-03-17,6486208.568739163,92.85087936586574,4037
2024-03-24,3094959.830584039,89.40102541239412,4486
2024-03-31,412089.8043621943,85.78916060806345,4539
2024-04-07,153024.131613183,81.47593235039028,4612
2024-04-14,37581.33746953246,79.65521825836473,4513
2024-04-21,71338.8366586275,79.14492435869327,4561
2024-04-28,159676.4344081272,78.0583038869258,4528
2024-05-05,4263210.085846357,75.6484701738939,4543
2024-05-12,473540.9672988882,74.2057989971659,4587
2024-05-19,794074.2368363556,74.85317893816911,4577
2024-05-26,502080.6628267612,77.24833850243687,4514
2024-06-02,1006755.0330062445,80.61039250669046,4484
2024-06-09,760992.926412615,82.84997809899255,4566
2024-06-16,440867.3093494184,85.77531236535975,4642
2024-06-23,43408.13537211292,88.13323353293413,4676
2024-06-30,14763900.424339302,90.11061381074168,4692
2024-07-07,5764625.543803419,91.92606837606837,4680
2024-07-14,2529866.263321584,92.93199253576613,4823
